Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar
05/01/2020,-64.275696,-36.588322,178,31.8,18.3,0,2.11111,0.61,32.1
14/01/2020,-64.275696,-36.588322,178,32.5,23.8,22.0,2.05556,0.881,20.5
18/03/2020,-64.275696,-36.588322,178,24.1,17.0,0.9,1.55556,0.86,18.1
04/07/2020,-64.275696,-36.588322,178,29.9,17.5,0,2.16667,0.60,23.4
08/05/2019,-64.275696,-36.588322,178,20.6,13.6,3.4,2.13889,0.84,7.6
05/07/2019,-64.275696,-36.588322,178,10.2,-1.6,0,1.33333,0.66,13.2
18/06/2019,-64.275696,-36.588322,178,16.2,9.7,2.4,1.08333,0.81,11.7
02/11/2019,-64.275696,-36.588322,178,25.0,18.8,5.3,1.63889,0.89,4.6
12/04/2018,-64.275696,-36.588322,178,20.4,17.1,0,3.083333,0.68,6.7
03/09/2018,-64.275696,-36.588322,178,19.6,7.9,0,1.52778,0.85,19.3
22/10/2018,-64.275696,-36.588322,178,21.8,14.1,6.1,1.63889,0.79,9.1
31/10/2018,-64.275696,-36.588322,178,24.4,14.1,0,1.80556,0.81,12.7
09/01/2017,-64.275696,-36.588322,178,27.9,19.0,2.5,1.77778,0.92,5.9
27/06/2017,-64.275696,-36.588322,178,22.2,14.3,3.0,2.888889,0.88,2.8
18/08/2017,-64.275696,-36.588322,178,25.5,13.4,0,3.583333,0.65,16.1
02/12/2017,-64.275696,-36.588322,178,24.4,20.2,1.7,1.38889,0.83,10.2
18/02/2016,-64.275696,-36.588322,178,27.8,21.0,4.3,1.05556,0.89,11.7
10/03/2016,-64.275696,-36.588322,178,23.1,10.3,0.5,3.138889,0.70,8.2
17/03/2016,-64.275696,-36.588322,178,33.0,20.1,0,2.888889,0.53,7.5
14/11/2016,-64.275696,-36.588322,178,29.4,16.9,4.9,2.47222,0.57,10.6
